PuzzleName,Solver,Solved,HintCount,HintVariance,DifficultyScore,Run1(ms),Run2(ms),Run3(ms),Run4(ms),Run5(ms),BestTime(ms),WorstTime(ms),AverageTime(ms),NumberOfGuesses,PropagationDepth,PeakMemory(bytes),OriginalPuzzle,Solution,InitStartTime(ms),InitEndTime(ms),InitTime(μs),InitMemCost(bytes)
Puzzle_13,ConstraintPropagation,Yes,130,1.84,23.35,7,6,3,6,7,3,7,5,2,125,1358320,160065004930001311809731112861351416100201115209147000010031651050002150847012090000041697140101113065310010015084201200001481502000600030001601014001000006071310100120620000001003641100015051000605009000030167212000270000981015014000001300709010000138014900015011005050110726300112131400312015000100016138107,16141265101493152713118497311128613514161015211115289147136112104316511051316321511847612149281512641697143151113106531131110715168429121471110148155212913616413134916121314211105157869713101161512562141183481142364111613715951012156451013981121131416721231611271451049816151314214158131637591210611101387149121415611325165161197263810112131441531261545111014216138197,14090771156100,14090771200800,44,1
Puzzle_13,DPLLSAT,Yes,130,1.84,23.35,1999,1943,1958,1988,1971,1943,1999,1971,0,4096,434328504,160065004930001311809731112861351416100201115209147000010031651050002150847012090000041697140101113065310010015084201200001481502000600030001601014001000006071310100120620000001003641100015051000605009000030167212000270000981015014000001300709010000138014900015011005050110726300112131400312015000100016138107,16141265101493152713118497311128613514161015211115289147136112104316511051316321511847612149281512641697143151113106531131110715168429121471110148155212913616413134916121314211105157869713101161512562141183481142364111613715951012156451013981121131416721231611271451049816151314214158131637591210611101387149121415611325165161197263810112131441531261545111014216138197,14090800132300,14090800187800,55,1
Puzzle_13,DLX,Yes,130,1.84,23.35,3,5,0,8,3,0,8,3,126,126,1364496,160065004930001311809731112861351416100201115209147000010031651050002150847012090000041697140101113065310010015084201200001481502000600030001601014001000006071310100120620000001003641100015051000605009000030167212000270000981015014000001300709010000138014900015011005050110726300112131400312015000100016138107,16141265101493152713118497311128613514161015211115289147136112104316511051316321511847612149281512641697143151113106531131110715168429121471110148155212913616413134916121314211105157869713101161512562141183481142364111613715951012156451013981121131416721231611271451049816151314214158131637591210611101387149121415611325165161197263810112131441531261545111014216138197,14100659779800,14100659827200,47,1
Puzzle_14,Backtracking,Yes,130,1.83,23.29,18,19,13,17,16,13,19,16,14294,125,5561496,00513403611011090715150000127000001010000300090870151405611910751581020133004140015061073000001389130011014800040025030801300121672101400126003500010157110000975160000001100601300001578001601001601530110000100000002112100630016148591300000000290001501304110160001801390010122000016005010614137903201215014105840,12851341436110111692715156161413127254391018112431161091187121514135611910751581142613312164141215126107359114161389137161111481061541232553118151349121672161410412610235161314181571191014897516134122161115361113419215785316141012165153811121491310624177211210463111516148591381614567131029412111531310411141615561871391221151229811416313571061413796321121511141058416,14100679060100,14100679100900,40,1
Puzzle_14,ConstraintPropagation,Yes,130,1.83,23.29,4,13,4,4,12,4,13,7,2,125,1370128,00513403611011090715150000127000001010000300090870151405611910751581020133004140015061073000001389130011014800040025030801300121672101400126003500010157110000975160000001100601300001578001601001601530110000100000002112100630016148591300000000290001501304110160001801390010122000016005010614137903201215014105840,12851341436110111692715156161413127254391018112431161091187121514135611910751581142613312164141215126107359114161389137161111481061541232553118151349121672161410412610235161314181571191014897516134122161115361113419215785316141012165153811121491310624177211210463111516148591381614567131029412111531310411141615561871391221151229811416313571061413796321121511141058416,14100762070600,14100762103100,32,1
Puzzle_14,DPLLSAT,Yes,130,1.83,23.29,2023,1955,1949,1958,1987,1949,2023,1974,0,4096,464864200,00513403611011090715150000127000001010000300090870151405611910751581020133004140015061073000001389130011014800040025030801300121672101400126003500010157110000975160000001100601300001578001601001601530110000100000002112100630016148591300000000290001501304110160001801390010122000016005010614137903201215014105840,12851341436110111692715156161413127254391018112431161091187121514135611910751581142613312164141215126107359114161389137161111481061541232553118151349121672161410412610235161314181571191014897516134122161115361113419215785316141012165153811121491310624177211210463111516148591381614567131029412111531310411141615561871391221151229811416313571061413796321121511141058416,14100809711600,14100809800700,89,1
Puzzle_14,DLX,Yes,130,1.83,23.29,4,5,3,5,4,3,5,4,126,126,1374528,00513403611011090715150000127000001010000300090870151405611910751581020133004140015061073000001389130011014800040025030801300121672101400126003500010157110000975160000001100601300001578001601001601530110000100000002112100630016148591300000000290001501304110160001801390010122000016005010614137903201215014105840,12851341436110111692715156161413127254391018112431161091187121514135611910751581142613312164141215126107359114161389137161111481061541232553118151349121672161410412610235161314181571191014897516134122161115361113419215785316141012165153811121491310624177211210463111516148591381614567131029412111531310411141615561871391221151229811416313571061413796321121511141058416,14110682853700,14110682905700,52,1
Puzzle_15,Backtracking,Yes,130,1.85,23.39,6,5,4,5,5,4,6,5,1304,125,1375272,0614109004002125110004015000000130092501301200414108915106815001306051603041410716120241101500013100513001401590000030006100500080031107000011361207041650000143101202058076000910007840001016110009802100140000016600071603615020131108014160015901001100003121121000001390000000000100301501307900400361082161214051507,10614189316471521251113312471510514161113816925111316127241410891513681529131611516123741410716128241131519141310651341145159107861232161161095141618132311471512152113612137104165149181431012112165815761134915613784931410161112215981521013141121154166731171643615122913110851416137159141061154823121121811457139321561410162145101631215613179118449361118216121410515137,14110704559000,14110704604100,45,1
Puzzle_15,ConstraintPropagation,Yes,130,1.85,23.39,6,6,5,7,6,5,7,6,0,125,1368920,0614109004002125110004015000000130092501301200414108915106815001306051603041410716120241101500013100513001401590000030006100500080031107000011361207041650000143101202058076000910007840001016110009802100140000016600071603615020131108014160015901001100003121121000001390000000000100301501307900400361082161214051507,10614189316471521251113312471510514161113816925111316127241410891513681529131611516123741410716128241131519141310651341145159107861232161161095141618132311471512152113612137104165149181431012112165815761134915613784931410161112215981521013141121154166731171643615122913110851416137159141061154823121121811457139321561410162145101631215613179118449361118216121410515137,14110729301800,14110729349100,47,1
Puzzle_15,DPLLSAT,Yes,130,1.85,23.39,1951,1961,1953,1984,1937,1937,1984,1957,0,4096,477014712,0614109004002125110004015000000130092501301200414108915106815001306051603041410716120241101500013100513001401590000030006100500080031107000011361207041650000143101202058076000910007840001016110009802100140000016600071603615020131108014160015901001100003121121000001390000000000100301501307900400361082161214051507,10614189316471521251113312471510514161113816925111316127241410891513681529131611516123741410716128241131519141310651341145159107861232161161095141618132311471512152113612137104165149181431012112165815761134915613784931410161112215981521013141121154166731171643615122913110851416137159141061154823121121811457139321561410162145101631215613179118449361118216121410515137,14110759438500,14110759537700,99,1
